L.P		KLUB/SPONSOR	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	GRUPA	M/K	TOP	BONUS
117	MARYSIA SZCZEPANKIEWICZ	MARIAN	t	t	t	t	t	t	t	b	t	b	b										Lajt	K	8	11
118	DARIUSZ BĄBA		t	t	t	t	t	t	t	b	t	b	b										Lajt	M	8	11
119	MICHAŁ PAULO		t	t	t	t	t	t	b	b	t	t	b	b									Lajt	M	8	11
120	SEWERYN ŚMIEJKA	KW KATOWICE	t	t	t	t	t	t	t	b	t	b	b	b									Lajt	M	8	11
121	BARTEK PASIOWIEC	WSPINON WSPIN	t	t	t	t	t	t	t	b	t	b	t		b								Lajt	M	8	11
122	ŁUKASZ FILAR	CW CECHOWNIA	t	t	t	t	t	t	t	b	t	b											Lajt	M	8	10
123	KATARZYNA BAL	KWZG/BALU	t	t	t	t	t	t	b	b	t	t											Lajt	K	8	10
124	GRZEGORZ MRÓZ		t	t	t	t	t	t	t	b	b	t											Lajt	M	8	10
125	WIKTORIA DYMIŃSKA	CSC ADVENTURE ACADEMY	t	t	t	t	t	t	t	b	t												Lajt	K	8	9
126	KRZYSZTOF LUBOWIECKI		t	t	t	t	t	t	t	t		b											Lajt	M	8	9
127	MARIUSZ SOSNA		t	t	t	t	t	t	t	t		b											Lajt	M	8	9
128	KRZYSZTOF MAKIEL	MYSTICLIMB	t	t	t	t	t	t	t	b		t	t										Lajt	M	8	9
129	RAFAŁ PIĘTAK		t	t	t	t	t	t	t		t	b	t										Lajt	M	8	9
130	PIOTR TROJNAR	SALEWA BLOCK	t	t	t	t	t	t	t		t	b											Lajt	M	8	9
131	KINGA KLUSKA	CSC ADVENTURE ACADEMY	t	t	t	t	t	t	t		t	b											Lajt	K	8	9
132	ARTUR ZAJĄC		t	t	t	t	t	t	t		t	b	t	b									Lajt	M	8	9
133	KRZYSZTOF ROZA	MASAKRA	t	t	t	t	t	t	t		t	b											Lajt	M	8	9
134	TOMASZ PRZEWOZNIK		t	t	t	t	t	t	t			t	t										Lajt	M	8	8
135	ARTUR GRYT	KW KATOWICE	t	t	t	t	t	t	t		t		b										Lajt	M	8	8
136	KAROLINA BOCZKOWSKA	CW TOP	t	t	t	t	t	t	t		t		t	b									Lajt	K	8	8
137	MACIEJ ZIELIŃSKI		t	t	t	t	t	t	t		t		t										Lajt	M	8	8
138	MICHAŁ KOLOCH		t	t	t	t	t	t	t	t			t										Lajt	M	8	8
139	RAFAŁ URBAŃCZYK		t	t	t	t	t	t	t		t												Lajt	M	8	8
140	GOSIA KUSO	CW CECHOWNIA	t	t	t	t	t	t	b	b	t	b	t										Lajt	K	7	11
141	PAWEŁ PIASKOWY	SALEWA BLOCK	t	t	t	t	t	t	t		b	b											Lajt	M	7	9
142	KRZYSZTOF JARCZYK	KW JASTRZĘBIE	t	t	t	t	t	t	t		b	b	t										Lajt	M	7	9
143	JUSTYNA SPYRKA	KW KATOWICE	t	t	t	t	t	t	b		t	b											Lajt	K	7	9
144	MAGDA TRÓLKA		t	t	t	t	t	t	b		t	b	b										Lajt	K	7	9
145	ADRIAN PAWLIK		t	t	t	t	t	t	t	b		b											Lajt	M	7	9
146	ELA CHOLEWA		t	t	t	t	t	t	b	b	t		t	b									Lajt	K	7	9
147	KLAUDIA KANDZIA		t	t	t	t	t	t	b		t	b	b										Lajt	K	7	9
148	MATEUSZ ZAJĄC		t	t	t	t	t	t	t	b	b		t	b									Lajt	M	7	9
149	AMANDA SWAT	SALEWA BLOCK ZABRZE	t	t	t	t	t	t	b		t	b											Lajt	K	7	9
150	LINA OKININA	UKRAINA/KARPINIS TEAM	t	t	t	t	t	t	b	b	t		t										Lajt	K	7	9
151	PAWEŁ KOS	KW KATOWICE	t	t	t	t	t	t	t	b	b												Lajt	M	7	9
152	PAULA GOSLO		t	t	t	t	t	t	b	b	t												Lajt	K	7	9
153	KUBA BIEŃ	FAIR CLIMB	t	t	t	t	t	t	b		t	b	t										Lajt	M	7	9
154	DAWID WÓJCIGA	PRIMAROCA	t	t	t	t	t	t	t	b		b	t										Lajt	M	7	9
155	TOMASZ HANSEL	KW KATOWICE	t	t	t	t	t	t	t		b	b	t										Lajt	M	7	9
156	RAFAŁ SZOSTOK		t	t	t	t	t	t	t		b		t										Lajt	M	7	8
157	KAMIL KWIECIEŃ	KW KATOWICE	t	t	t	t	t	t	b		t												Lajt	M	7	8
158	ANDRZEJ RAWSKI	ANTYGRAVITY.PL/KW GLIWICE	t	t	t	t	t	t	t			b	t										Lajt	M	7	8
159	MARTYNA ŚMIŁOWSKA		t	t	t	t	t	t	b		t												Lajt	K	7	8
160	JAKUB OPIELA		t	t	t	t	t	t	t		b												Lajt	M	7	8
161	PAWEŁ PIERZCHAŁA		t	t	t	t	t	t	t		b		t										Lajt	M	7	8
162	KRZYSZTOF WYSOCKI	MYSTICLIMB	t	t	t	t	t	t	t			b	t										Lajt	M	7	8
163	ALEKSANDER WŁODARCZYK		t	t	t	t	t	t	b		t												Lajt	M	7	8
164	PRZEMYSŁAW DIENER	ŚKA	t	t	t	t	t	t	t				t	b									Lajt	M	7	7
